Transaction ID,Country,City,Product Category,Revenue,Units Sold,Profit Margin,Transaction Date,Employee ID,Customer Segment,Order Priority,Sales Channel
T000030,Sweden,Malmo,Apparel,924.95,75,0.07,2023-12-18,E9931,Retail,Low,Offline
T000031,Denmark,Aarhus,Toys,600.98,36,0.1,2023-05-22,E7447,Corporate,Medium,Offline
T000032,Belgium,Ghent,Toys,111.59,35,0.16,2023-08-30,E3596,Small Business,Low,Online
T000033,Norway,Bergen,Toys,347.52,35,0.17,2023-04-19,E8189,Small Business,Medium,Online
T000034,Belgium,Antwerp,Electronics,908.18,56,0.22,2023-10-12,E1204,Small Business,Medium,Offline
T000035,Sweden,Gothenburg,Sports,642.94,33,0.17,2023-05-10,E5833,Small Business,High,Offline
T000036,Denmark,Copenhagen,Toys,83.86,27,0.27,2023-07-01,E4889,Retail,Low,Offline
T000037,France,Marseille,Home Goods,302.74,95,0.13,2023-12-18,E4427,Corporate,Low,Offline
T000038,Norway,Oslo,Home Goods,107.74,29,0.06,2023-03-01,E3263,Corporate,Medium,Offline
T000039,Belgium,Ghent,Home Goods,366.77,93,0.13,2023-07-15,E6614,Small Business,High,Online
T000040,Norway,Bergen,Apparel,615.26,46,0.27,2023-05-30,E9970,Corporate,High,Online
T000041,Spain,Madrid,Sports,990.5,11,0.23,2023-10-12,E8759,Retail,High,Offline
T000042,Netherlands,Amsterdam,Toys,19.01,23,0.23,2023-08-27,E6861,Small Business,Medium,Offline
T000043,Norway,Bergen,Apparel,779.15,6,0.07,2023-10-06,E9114,Retail,High,Online
T000044,United Kingdom,Manchester,Home Goods,413.13,84,0.11,2023-01-10,E6188,Retail,High,Offline
T000045,Belgium,Antwerp,Sports,500.82,47,0.17,2023-03-01,E8794,Small Business,Low,Offline
T000046,Netherlands,The Hague,Toys,384.32,47,0.23,2023-08-06,E4753,Corporate,High,Offline
T000047,Sweden,Gothenburg,Toys,893.6,66,0.19,2023-11-29,E2423,Small Business,Medium,Offline
T000048,Belgium,Brussels,Sports,892.58,39,0.08,2023-11-03,E8104,Retail,Medium,Online
T000049,Norway,Oslo,Electronics,575.08,88,0.27,2023-03-01,E6031,Corporate,Medium,Online
T000050,Sweden,Gothenburg,Toys,930.4,77,0.15,2023-11-02,E6388,Small Business,Low,Offline
T000051,Norway,Bergen,Toys,776.32,66,0.07,2023-09-10,E8419,Small Business,Low,Offline
T000052,Italy,Milan,Sports,241.31,48,0.14,2023-12-10,E3891,Corporate,Low,Offline
T000053,Netherlands,Rotterdam,Toys,409.76,88,0.22,2023-02-22,E9562,Corporate,High,Online
T000054,United Kingdom,London,Apparel,842.98,22,0.26,2023-08-31,E8535,Corporate,Medium,Online
T000055,Belgium,Antwerp,Toys,799.63,7,0.18,2023-03-24,E6877,Corporate,Low,Offline
T000056,Spain,Valencia,Apparel,135.62,93,0.09,2023-06-03,E2407,Small Business,Medium,Online
T000057,Germany,Berlin,Electronics,546.88,7,0.22,2023-11-24,E8565,Small Business,Medium,Offline
T000058,United Kingdom,Birmingham,Home Goods,481.08,95,0.16,2023-06-07,E7223,Retail,Medium,Offline
T000059,Sweden,Malmo,Apparel,735.43,61,0.1,2023-01-06,E7619,Small Business,Medium,Offline
T000060,Italy,Milan,Toys,79.36,31,0.06,2023-11-24,E1467,Corporate,Low,Online
T000061,Sweden,Stockholm,Home Goods,384.02,33,0.22,2023-03-17,E8250,Corporate,Low,Offline
T000062,Germany,Frankfurt,Home Goods,251.44,92,0.05,2023-08-31,E4306,Small Business,High,Online
T000063,Norway,Bergen,Toys,225.14,80,0.14,2023-10-27,E6815,Retail,High,Online
T000064,Spain,Valencia,Toys,477.47,18,0.07,2023-02-22,E8190,Corporate,High,Online
T000065,Germany,Munich,Sports,311.12,54,0.23,2023-03-13,E5756,Retail,Medium,Online
T000066,Norway,Bergen,Apparel,825.18,63,0.22,2023-02-07,E8284,Small Business,High,Online
T000067,Sweden,Stockholm,Electronics,217.95,12,0.09,2023-11-18,E5696,Corporate,Medium,Offline
T000068,Sweden,Gothenburg,Sports,579.51,64,0.25,2023-09-08,E9212,Corporate,Medium,Online
T000069,Sweden,Malmo,Apparel,482.26,2,0.17,2023-01-22,E7173,Retail,Medium,Online
T000070,Italy,Rome,Apparel,871.05,87,0.29,2023-10-02,E7677,Corporate,Low,Online
T000071,Norway,Bergen,Electronics,492.34,22,0.13,2023-05-16,E8261,Corporate,Low,Offline
T000072,Germany,Berlin,Electronics,197.47,64,0.08,2023-03-21,E5460,Corporate,Low,Online
T000073,United Kingdom,Manchester,Apparel,361.59,52,0.06,2023-07-06,E4472,Corporate,High,Offline
T000074,Netherlands,Amsterdam,Sports,13.96,66,0.07,2023-01-05,E2861,Corporate,Medium,Offline
T000075,Italy,Rome,Apparel,379.23,1,0.15,2023-08-09,E2743,Small Business,High,Offline
T000076,Netherlands,Amsterdam,Sports,670.93,36,0.25,2023-03-04,E8083,Retail,Low,Offline
T000077,United Kingdom,London,Toys,226.69,35,0.2,2023-12-06,E8582,Small Business,Medium,Online
T000078,Italy,Milan,Electronics,466.98,67,0.14,2023-06-15,E4321,Small Business,Low,Online
T000079,Germany,Munich,Home Goods,499.61,73,0.27,2023-03-22,E1621,Retail,Medium,Offline
T000080,Norway,Bergen,Electronics,171.04,33,0.21,2023-03-12,E1879,Retail,High,Offline
T000081,Spain,Valencia,Electronics,823.56,50,0.28,2023-06-23,E8041,Small Business,Medium,Online
T000082,France,Lyon,Electronics,514.37,89,0.05,2023-03-28,E8892,Corporate,Low,Online
T000083,France,Paris,Electronics,533.09,49,0.13,2023-10-07,E5899,Small Business,Medium,Offline
T000084,Sweden,Malmo,Sports,413.64,21,0.11,2023-07-21,E2565,Corporate,Medium,Online
T000085,Sweden,Gothenburg,Toys,860.85,47,0.07,2023-03-26,E2244,Retail,High,Offline
T000086,United Kingdom,London,Apparel,809.4,76,0.23,2023-06-11,E1169,Small Business,Low,Offline
T000087,Sweden,Malmo,Sports,680.22,83,0.29,2023-06-06,E7779,Corporate,Low,Offline
T000088,Spain,Valencia,Toys,626.79,60,0.08,2023-04-14,E7026,Small Business,Low,Online
T000089,Sweden,Gothenburg,Toys,382.2,83,0.25,2023-04-19,E8081,Small Business,High,Offline
T000090,Italy,Rome,Electronics,34.36,7,0.16,2023-02-13,E3173,Retail,Low,Offline
T000091,Germany,Munich,Apparel,723.54,27,0.11,2023-06-14,E3687,Corporate,Low,Online
T000092,Denmark,Copenhagen,Electronics,291.26,16,0.29,2023-09-17,E1941,Corporate,Medium,Offline
T000093,United Kingdom,London,Toys,962.19,70,0.25,2023-10-16,E2066,Retail,Low,Online
T000094,Spain,Barcelona,Home Goods,154.51,55,0.27,2023-07-14,E3082,Small Business,High,Online
T000095,Sweden,Malmo,Sports,447.9,77,0.09,2023-12-22,E8468,Small Business,Low,Offline
T000096,Netherlands,Amsterdam,Toys,824.78,54,0.17,2023-06-30,E9928,Retail,Medium,Offline
T000097,Norway,Bergen,Electronics,871.68,5,0.27,2023-06-30,E7371,Corporate,High,Online
T000098,United Kingdom,Birmingham,Sports,264.99,26,0.27,2023-01-15,E3534,Small Business,High,Offline
T000099,Netherlands,Rotterdam,Sports,513.92,30,0.12,2023-11-21,E8953,Small Business,High,Offline
T000100,France,Lyon,Sports,354.67,20,0.11,2023-03-26,E5947,Small Business,Low,Online
T000101,Italy,Rome,Toys,827.04,20,0.17,2023-04-10,E6435,Corporate,Medium,Online
T000102,Denmark,Aarhus,Toys,471.39,73,0.12,2023-12-18,E8488,Corporate,Medium,Offline
T000103,Sweden,Malmo,Apparel,25.86,65,0.15,2023-09-13,E6568,Small Business,Medium,Offline
T000104,Denmark,Copenhagen,Electronics,344.57,93,0.26,2023-01-30,E2471,Corporate,Low,Offline
T000105,Norway,Trondheim,Apparel,827.96,24,0.05,2023-02-26,E7740,Small Business,Low,Online
T000106,Sweden,Gothenburg,Sports,744.24,34,0.19,2023-05-06,E5752,Corporate,High,Online
T000107,Belgium,Brussels,Sports,387.91,80,0.2,2023-04-02,E8721,Retail,Medium,Offline
T000108,Belgium,Ghent,Sports,630.62,55,0.18,2023-05-12,E1596,Retail,Medium,Offline
T000109,Italy,Rome,Sports,397.88,95,0.07,2023-08-05,E4037,Retail,Low,Offline
T000110,Denmark,Aarhus,Apparel,719.89,51,0.12,2023-11-21,E2060,Retail,Low,Offline
T000111,United Kingdom,Manchester,Apparel,201.81,66,0.15,2023-04-22,E6483,Small Business,High,Online
T000112,Italy,Naples,Electronics,869.73,51,0.26,2023-03-12,E9069,Corporate,High,Online
T000113,Germany,Frankfurt,Home Goods,982.3,65,0.15,2023-11-24,E7177,Corporate,Medium,Offline
T000114,Norway,Oslo,Home Goods,656.14,13,0.21,2023-05-19,E2189,Small Business,Low,Online
T000115,Netherlands,Amsterdam,Toys,565.76,4,0.12,2023-07-21,E6104,Small Business,Medium,Offline
T000116,Spain,Barcelona,Apparel,57.14,29,0.23,2023-02-09,E1352,Small Business,Low,Online
T000117,Denmark,Aarhus,Sports,889.75,6,0.19,2023-04-20,E5740,Retail,Low,Offline
T000118,Italy,Rome,Home Goods,661.55,98,0.08,2023-09-01,E6025,Retail,Medium,Offline
T000119,Germany,Berlin,Apparel,312.04,82,0.23,2023-05-31,E3466,Retail,High,Offline
T000120,France,Lyon,Toys,885.62,57,0.12,2023-05-07,E9855,Retail,High,Online
T000121,United Kingdom,London,Home Goods,738.06,5,0.18,2023-08-02,E1203,Retail,Low,Online
T000122,Netherlands,The Hague,Toys,465.7,23,0.07,2023-01-02,E4559,Small Business,High,Offline
T000123,Belgium,Ghent,Home Goods,851.53,6,0.27,2023-06-02,E3078,Corporate,High,Offline
T000124,Sweden,Gothenburg,Toys,185.69,35,0.24,2023-01-12,E3779,Retail,Medium,Offline
T000125,France,Marseille,Toys,445.65,72,0.13,2023-12-19,E6093,Retail,Low,Offline
T000126,Denmark,Copenhagen,Apparel,310.14,11,0.24,2023-08-19,E6828,Retail,High,Online
T000127,Norway,Trondheim,Home Goods,444.99,17,0.07,2023-10-30,E8587,Corporate,Low,Offline
T000128,France,Marseille,Electronics,387.53,4,0.26,2023-05-26,E7454,Small Business,High,Offline
T000129,Germany,Frankfurt,Toys,373.23,17,0.07,2023-05-12,E3261,Small Business,Low,Offline
T000130,United Kingdom,Birmingham,Sports,326.06,21,0.08,2023-05-27,E7719,Corporate,Low,Offline
T000131,Denmark,Odense,Home Goods,570.98,1,0.24,2023-04-25,E5425,Corporate,Medium,Online
T000132,Germany,Berlin,Home Goods,980.42,100,0.09,2023-02-04,E1380,Small Business,Low,Offline
T000133,Spain,Barcelona,Home Goods,360.88,29,0.18,2023-10-18,E5067,Corporate,High,Offline
T000134,Belgium,Antwerp,Electronics,745.15,20,0.29,2023-09-06,E1827,Corporate,Medium,Offline
T000135,Spain,Madrid,Apparel,550.26,39,0.12,2023-07-10,E4111,Retail,High,Online
T000136,Denmark,Aarhus,Sports,122.94,84,0.28,2023-01-11,E9199,Small Business,Medium,Online
T000137,Belgium,Brussels,Electronics,352.93,8,0.07,2023-07-13,E9761,Retail,Low,Offline
T000138,France,Lyon,Toys,320.52,78,0.15,2023-03-06,E3665,Small Business,High,Offline
T000139,Italy,Rome,Apparel,154.67,96,0.22,2023-09-02,E1939,Small Business,Medium,Online
T000140,France,Marseille,Electronics,519.04,69,0.19,2023-11-10,E2062,Small Business,Medium,Offline
T000141,France,Marseille,Electronics,70.9,48,0.17,2023-09-12,E4713,Small Business,Medium,Online
T000142,Denmark,Copenhagen,Apparel,191.16,85,0.21,2023-07-27,E2257,Corporate,High,Offline
T000143,Italy,Milan,Sports,203.15,34,0.24,2023-12-21,E8101,Small Business,High,Offline
T000144,Italy,Naples,Home Goods,672.75,64,0.2,2023-01-06,E3289,Small Business,Low,Online
T000145,Italy,Rome,Electronics,263.54,10,0.12,2023-12-19,E2765,Corporate,Medium,Offline
T000146,Germany,Munich,Toys,127.03,7,0.12,2023-06-23,E4786,Small Business,Medium,Online
T000147,Norway,Trondheim,Apparel,169.78,48,0.13,2023-07-22,E3912,Corporate,Low,Online
T000148,United Kingdom,London,Home Goods,774.77,26,0.14,2023-05-20,E5334,Small Business,Medium,Offline
T000149,Denmark,Odense,Apparel,94.7,41,0.24,2023-03-15,E6024,Retail,Low,Offline
T000150,Italy,Naples,Home Goods,962.19,83,0.21,2023-10-06,E8091,Corporate,High,Online
T000151,Denmark,Copenhagen,Apparel,697.39,26,0.26,2023-09-16,E5910,Small Business,High,Online
T000152,Italy,Rome,Sports,376.11,17,0.23,2023-12-23,E3271,Corporate,High,Online
T000153,United Kingdom,Manchester,Toys,259.16,48,0.11,2023-11-28,E4279,Small Business,Medium,Offline
T000154,Germany,Munich,Toys,959.43,68,0.09,2023-02-01,E7999,Small Business,Low,Offline
T000155,France,Lyon,Toys,886.81,60,0.29,2023-05-13,E8048,Corporate,High,Offline
T000156,Netherlands,Amsterdam,Home Goods,192.31,14,0.08,2023-09-18,E5833,Corporate,Medium,Offline
T000157,Sweden,Gothenburg,Electronics,320.72,49,0.17,2023-06-09,E4303,Retail,High,Online
T000158,France,Lyon,Electronics,489.74,98,0.22,2023-03-13,E4288,Small Business,Low,Offline
T000159,Netherlands,Amsterdam,Electronics,815.69,92,0.08,2023-09-24,E2159,Retail,Low,Online
T000160,Norway,Bergen,Home Goods,443.48,25,0.28,2023-07-05,E2826,Corporate,Medium,Online
T000161,Italy,Rome,Apparel,837.73,82,0.17,2023-07-11,E2459,Corporate,Medium,Offline
T000162,United Kingdom,Birmingham,Home Goods,46.46,77,0.24,2023-09-14,E5291,Small Business,Low,Online
T000163,United Kingdom,London,Electronics,376.1,31,0.12,2023-08-23,E1705,Retail,Low,Online
T000164,Germany,Munich,Sports,755.58,99,0.08,2023-08-11,E1230,Small Business,High,Offline
T000165,Italy,Milan,Apparel,862.78,50,0.08,2023-07-04,E6890,Corporate,High,Online
T000166,Spain,Valencia,Home Goods,598.45,72,0.16,2023-08-16,E9985,Retail,High,Online
T000167,Denmark,Copenhagen,Electronics,465.95,69,0.17,2023-09-25,E9983,Corporate,Medium,Online
T000168,Denmark,Odense,Toys,227.17,42,0.15,2023-02-14,E7602,Retail,Low,Offline
T000169,Spain,Barcelona,Home Goods,263.96,5,0.17,2023-08-11,E6160,Retail,Low,Offline
T000170,Italy,Naples,Electronics,758.73,92,0.28,2023-04-02,E2152,Corporate,High,Offline
T000171,Netherlands,Rotterdam,Electronics,201.15,65,0.21,2023-08-07,E2992,Small Business,Medium,Offline
T000172,Norway,Bergen,Home Goods,465.39,24,0.09,2023-12-31,E7528,Corporate,Low,Online
T000173,Italy,Milan,Home Goods,598.76,26,0.15,2023-05-14,E9298,Corporate,Medium,Online
T000174,United Kingdom,Manchester,Sports,722.4,2,0.15,2023-09-26,E9309,Corporate,Low,Online
T000175,France,Paris,Sports,808.38,83,0.28,2023-03-20,E3980,Retail,High,Online
T000176,Spain,Valencia,Apparel,857.04,18,0.13,2023-04-05,E3000,Retail,Low,Offline
T000177,United Kingdom,Birmingham,Apparel,260.41,29,0.23,2023-11-03,E2056,Corporate,Medium,Offline
T000178,Italy,Rome,Home Goods,827.06,46,0.08,2023-12-09,E2677,Retail,Low,Online
T000179,Norway,Bergen,Sports,666.73,40,0.22,2023-01-21,E1817,Retail,Low,Online
T000180,Spain,Valencia,Home Goods,110.87,15,0.09,2023-05-07,E2572,Corporate,High,Offline
T000181,Italy,Milan,Electronics,678.51,99,0.07,2023-10-25,E6731,Small Business,Medium,Offline
T000182,Spain,Barcelona,Toys,195.56,4,0.26,2023-08-19,E1206,Corporate,Medium,Online
T000183,Netherlands,Rotterdam,Home Goods,278.05,24,0.2,2023-02-01,E6397,Retail,Low,Online
T000184,Norway,Oslo,Apparel,264.45,66,0.27,2023-03-07,E6045,Small Business,Low,Offline
T000185,Norway,Trondheim,Electronics,492.88,57,0.2,2023-02-27,E9103,Retail,Medium,Offline
T000186,France,Marseille,Sports,700.07,9,0.06,2023-04-11,E2930,Retail,High,Offline
T000187,Belgium,Ghent,Apparel,577.64,59,0.1,2023-07-05,E6048,Corporate,Low,Online
T000188,Belgium,Brussels,Sports,80.45,91,0.28,2023-02-14,E8770,Corporate,Low,Offline
T000189,Denmark,Copenhagen,Toys,450.35,14,0.14,2023-12-01,E9349,Corporate,High,Online
T000190,Italy,Rome,Home Goods,388.52,23,0.06,2023-11-03,E5873,Small Business,High,Online
T000191,Sweden,Gothenburg,Sports,621.43,80,0.06,2023-06-07,E9332,Small Business,High,Offline
T000192,Germany,Berlin,Electronics,342.9,5,0.28,2023-08-23,E7465,Small Business,High,Offline
T000193,France,Lyon,Sports,323.68,36,0.14,2023-08-02,E8761,Corporate,Medium,Online
T000194,Netherlands,Amsterdam,Electronics,979.6,61,0.17,2023-06-04,E2004,Retail,Medium,Online
T000195,France,Marseille,Home Goods,83.32,37,0.14,2023-01-28,E2335,Corporate,High,Offline
T000196,Belgium,Ghent,Electronics,788.57,42,0.21,2023-04-13,E6688,Corporate,Low,Online
T000197,Belgium,Antwerp,Sports,166.47,27,0.22,2023-03-15,E5647,Retail,High,Offline
T000198,Sweden,Gothenburg,Sports,983.13,83,0.15,2023-04-23,E7237,Small Business,Medium,Online
T000199,Spain,Valencia,Apparel,137.3,28,0.06,2023-12-03,E3605,Retail,Medium,Offline
T000200,Norway,Bergen,Electronics,702.35,56,0.29,2023-02-07,E4021,Small Business,High,Online
T000201,Sweden,Gothenburg,Electronics,488.49,58,0.2,2023-07-27,E1354,Corporate,Medium,Offline
T000202,Spain,Barcelona,Toys,926.53,38,0.18,2023-08-10,E3403,Corporate,Low,Offline
T000203,Germany,Berlin,Apparel,487.65,55,0.27,2023-12-29,E3731,Retail,High,Online
T000204,Italy,Rome,Electronics,111.54,3,0.07,2023-09-22,E5032,Retail,High,Online
T000205,Belgium,Brussels,Toys,748.9,51,0.28,2023-06-20,E9722,Retail,Low,Offline
T000206,Spain,Valencia,Home Goods,103.5,29,0.21,2023-03-21,E2335,Retail,Medium,Offline
T000207,France,Lyon,Home Goods,909.3,3,0.15,2023-01-08,E3267,Small Business,High,Online
T000208,Belgium,Antwerp,Apparel,564.09,88,0.14,2023-12-18,E8433,Retail,Medium,Online
T000209,Netherlands,Amsterdam,Toys,689.28,7,0.05,2023-11-21,E1008,Retail,High,Offline
T000210,France,Paris,Sports,412.74,1,0.21,2023-10-18,E1233,Small Business,High,Online
T000211,Germany,Berlin,Toys,252.24,56,0.18,2023-04-23,E5468,Small Business,High,Online
T000212,Germany,Frankfurt,Electronics,177.55,40,0.26,2023-01-19,E1943,Retail,Low,Offline
T000213,United Kingdom,London,Apparel,383.57,33,0.1,2023-05-20,E3523,Corporate,Low,Online
T000214,Germany,Munich,Sports,818.73,19,0.15,2023-09-09,E2974,Corporate,High,Offline
T000215,Spain,Valencia,Home Goods,16.35,49,0.09,2023-08-30,E2669,Small Business,Medium,Offline
T000216,Italy,Naples,Apparel,119.41,7,0.06,2023-12-19,E2913,Small Business,Low,Offline
T000217,Sweden,Stockholm,Toys,624.12,61,0.1,2023-10-27,E3148,Retail,Low,Offline
T000218,Netherlands,Amsterdam,Home Goods,446.85,76,0.27,2023-03-01,E6635,Corporate,High,Online
T000219,Sweden,Gothenburg,Electronics,512.46,21,0.15,2023-09-12,E7653,Small Business,Low,Offline
T000220,Germany,Berlin,Apparel,389.03,21,0.29,2023-02-12,E9673,Corporate,High,Offline
T000221,France,Marseille,Toys,175.57,95,0.07,2023-01-14,E8878,Corporate,High,Online
T000222,Netherlands,The Hague,Apparel,277.23,83,0.19,2023-11-17,E5454,Retail,High,Offline
T000223,Belgium,Brussels,Home Goods,160.98,46,0.1,2023-07-19,E2880,Small Business,Medium,Offline
T000224,Norway,Oslo,Electronics,234.13,1,0.23,2023-07-18,E7325,Retail,Low,Online
T000225,France,Marseille,Electronics,966.62,69,0.06,2023-03-02,E1283,Corporate,Medium,Online
T000226,Spain,Valencia,Toys,132.95,44,0.16,2023-04-27,E6972,Retail,Medium,Offline
T000227,United Kingdom,London,Apparel,412.36,73,0.19,2023-06-23,E9408,Corporate,Low,Offline
T000228,Belgium,Antwerp,Toys,443.91,80,0.2,2023-01-27,E4594,Corporate,Low,Offline
T000229,France,Lyon,Toys,962.61,46,0.13,2023-03-10,E5969,Small Business,High,Offline
T000230,Netherlands,Amsterdam,Home Goods,522.94,23,0.06,2023-07-04,E1984,Retail,Medium,Offline
T000231,Spain,Madrid,Apparel,903.17,30,0.07,2023-02-16,E7512,Small Business,Medium,Offline
T000232,Denmark,Aarhus,Electronics,857.19,84,0.15,2023-05-27,E7104,Corporate,High,Offline
T000233,United Kingdom,Birmingham,Sports,760.18,65,0.3,2023-04-10,E3658,Small Business,Low,Online
T000234,Netherlands,Rotterdam,Electronics,839.6,37,0.19,2023-10-29,E2686,Small Business,High,Offline
T000235,Germany,Berlin,Electronics,882.43,75,0.15,2023-03-04,E2976,Retail,Medium,Offline
T000236,Germany,Munich,Electronics,486.84,68,0.17,2023-09-18,E6138,Corporate,High,Online
T000237,Denmark,Odense,Sports,861.72,47,0.18,2023-05-06,E3907,Corporate,Low,Offline
T000238,Spain,Barcelona,Apparel,649.02,5,0.28,2023-05-14,E8773,Small Business,Low,Online
T000239,Sweden,Stockholm,Home Goods,452.6,12,0.16,2023-10-31,E8530,Small Business,Low,Offline
T000240,Norway,Trondheim,Electronics,299.07,69,0.24,2023-05-26,E8371,Retail,High,Online
T000241,Sweden,Gothenburg,Sports,362.55,67,0.26,2023-01-02,E3127,Retail,Low,Offline
T000242,Netherlands,Rotterdam,Home Goods,975.97,15,0.25,2023-07-07,E5354,Retail,Low,Offline
T000243,Denmark,Aarhus,Apparel,803.57,49,0.26,2023-03-21,E6872,Small Business,Medium,Online
T000244,France,Marseille,Apparel,979.31,67,0.23,2023-08-25,E8284,Corporate,Medium,Offline
T000245,Italy,Milan,Electronics,793.56,43,0.27,2023-06-16,E4707,Corporate,High,Online
T000246,Italy,Naples,Sports,829.81,7,0.06,2023-11-24,E3755,Small Business,Low,Offline
T000247,Italy,Naples,Sports,816.18,48,0.17,2023-06-20,E8706,Small Business,High,Offline
T000248,Italy,Naples,Electronics,417.3,46,0.14,2023-07-09,E8919,Corporate,High,Offline
T000249,Germany,Munich,Home Goods,683.53,95,0.11,2023-09-28,E8010,Small Business,High,Online
T000250,Spain,Madrid,Electronics,362.78,55,0.05,2023-06-14,E8701,Corporate,High,Online
T000251,Denmark,Copenhagen,Toys,26.75,20,0.22,2023-05-31,E2734,Corporate,High,Offline
T000252,Italy,Naples,Sports,887.47,84,0.21,2023-10-21,E8636,Corporate,Medium,Online
T000253,United Kingdom,London,Apparel,832.82,49,0.2,2023-06-21,E8759,Retail,High,Offline
T000254,Belgium,Brussels,Toys,175.73,63,0.26,2023-08-02,E7455,Corporate,Low,Online
T000255,Denmark,Odense,Toys,453.64,38,0.12,2023-01-06,E2964,Retail,Medium,Online
T000256,Spain,Valencia,Toys,268.12,16,0.28,2023-03-06,E6820,Corporate,Medium,Online
T000257,Denmark,Aarhus,Electronics,278.25,46,0.19,2023-06-07,E6941,Corporate,High,Offline
T000258,Belgium,Ghent,Sports,553.57,89,0.24,2023-07-20,E8398,Corporate,Medium,Online
T000259,Netherlands,The Hague,Apparel,726.46,17,0.14,2023-09-24,E3536,Corporate,High,Online
T000260,Sweden,Gothenburg,Apparel,470.04,24,0.23,2023-10-15,E9731,Corporate,High,Offline
T000261,Denmark,Odense,Sports,714.69,61,0.26,2023-08-31,E9153,Corporate,Medium,Online
T000262,Belgium,Ghent,Toys,281.76,34,0.1,2023-08-02,E6868,Corporate,Low,Online
T000263,United Kingdom,Birmingham,Home Goods,216.59,55,0.21,2023-09-30,E1823,Corporate,High,Offline
T000264,Germany,Munich,Electronics,828.74,29,0.21,2023-08-15,E1294,Retail,High,Offline
T000265,Sweden,Gothenburg,Electronics,507.07,30,0.09,2023-01-14,E5960,Retail,Low,Offline
T000266,Norway,Oslo,Apparel,639.57,85,0.26,2023-01-21,E3552,Small Business,High,Offline
T000267,France,Lyon,Sports,332.92,73,0.07,2023-01-13,E8630,Corporate,High,Offline
T000268,France,Paris,Toys,975.42,33,0.28,2023-09-02,E7754,Retail,Low,Offline
T000269,Norway,Oslo,Sports,219.33,73,0.22,2023-11-26,E6369,Corporate,Medium,Offline
T000270,Sweden,Malmo,Electronics,41.77,97,0.1,2023-10-19,E9101,Corporate,Medium,Offline
T000271,Germany,Munich,Toys,632.54,92,0.08,2023-10-14,E8123,Retail,Low,Offline
T000272,France,Lyon,Toys,560.5,1,0.1,2023-10-01,E1972,Corporate,Medium,Offline
